Time_datenum,Time_UTC,Boat_Latitude,Boat_Longitude,Boat_pos_x_m,Boat_pos_y_m,Sensor1_pos_x_m,Sensor1_pos_y_m,Sensor1_pos_z_m,Sensor2_pos_x_m,Sensor2_pos_y_m,Sensor2_pos_z_m
736950.707482176,12-Sep-2017 16:58:46.460,20.4603663506372,-156.949836482578,102.040381468278,-20.8084166162735,-227.248158262428,43.0322757516783,9.10134207673395,-252.370374384629,47.9028359976263,12.3684103729641
736950.707487963,12-Sep-2017 16:58:46.960,20.4603617737397,-156.949811434466,104.653891950859,-21.3151095519325,-224.634657920882,42.5255305088152,9.12231707312286,-249.756874816768,47.3960867641205,12.1193322908457
736950.70749375,12-Sep-2017 16:58:47.460,20.4603571967501,-156.949786385851,107.267455162348,-21.8218122808457,-222.021104821403,42.0187756223675,9.12678718681772,-247.143322488758,46.8893278984489,11.9197886588176
736950.707499537,12-Sep-2017 16:58:47.960,20.4603526198526,-156.949761337739,109.880965953931,-22.3285044177843,-219.407604131848,41.512031379338,9.01677899455431,-244.52982256991,46.3825796801201,12.0638470058292
736950.707505324,12-Sep-2017 16:58:48.460,20.4603480429551,-156.949736289627,112.494476902784,-22.835196154786,-216.794103316214,41.005287375311,8.93717570108655,-241.916322527365,45.8758316885159,12.1637324552854
736950.707511111,12-Sep-2017 16:58:48.960,20.4603434659655,-156.949711241012,115.108040576588,-23.3418976851727,-214.180549732638,40.4985337996067,9.07641627274192,-239.302769713597,45.3690741421489,11.9456764657119
736950.707516898,12-Sep-2017 16:58:49.460,20.460338889068,-156.9496861929,117.721551835178,-23.8485886228773,-211.567048614735,39.9917905562709,9.18961069284911,-236.689269369351,44.8623269082905,11.7946516570554
736950.707522685,12-Sep-2017 16:58:49.960,20.4603343121705,-156.949661144788,120.335063242485,-24.3552791607177,-208.953547299867,39.4850479616226,9.11882008003652,-234.075768824459,44.3555803421028,12.117142226535
736950.707528472,12-Sep-2017 16:58:50.460,20.4603294798802,-156.949636054321,122.952994350399,-24.8902438276216,-205.675828465751,42.263856676155,9.05474602309837,-230.747713194942,47.3872048124965,12.4082888686005
736950.707534259,12-Sep-2017 16:58:50.960,20.4603242976644,-156.949610905332,125.577032016469,-25.463948336746,-202.102687827676,46.1780617052875,9.03901445934627,-227.102163204254,51.6438032739943,12.473837050901
736950.707540046,12-Sep-2017 16:58:51.460,20.4603191155528,-156.949585756849,128.201017078648,-26.0376409023417,-199.478714296233,45.6043163998275,9.02832020690709,-224.478190552519,51.070053944883,12.5063240869308
736950.707545833,12-Sep-2017 16:58:51.960,20.4603139334412,-156.949560608367,130.825002311336,-26.6113330648984,-196.854740536986,45.0305717594273,9.05456532409459,-221.854217668608,50.4963053008217,12.2963631494308
736950.70755162,12-Sep-2017 16:58:52.460,20.4603087513295,-156.949535459884,133.448987722629,-27.1850248250217,-194.230766629466,44.4568273826834,9.07357114564951,-219.230244638738,49.922556909829,12.0980682606099
736950.707557407,12-Sep-2017 16:58:52.960,20.4603035691137,-156.949510310895,136.073026096215,-27.7587277222225,-191.606739779858,43.8830717764052,9.03948609085328,-216.606218668323,49.3487972822483,11.9853253870532
736950.707563194,12-Sep-2017 16:58:53.460,20.4602983870021,-156.949485162412,138.697011862522,-28.3324186761369,-188.982765519552,43.3093281956055,9.00756747132329,-213.982245285836,48.7750496864167,11.888054421477
736950.707568981,12-Sep-2017 16:58:53.960,20.4602932048905,-156.94946001393,141.320997799337,-28.9061092270124,-186.35879105614,42.7355851668926,8.9918362240316,-211.358271697759,48.2013026540431,11.9064075433173
736950.707574769,12-Sep-2017 16:58:54.460,20.4602880226746,-156.949434864941,143.945036703936,-29.4798109158423,-183.734763683221,42.1618307336414,8.97945205793301,-208.734245204619,47.6275441967929,11.9141065615126
736950.707580556,12-Sep-2017 16:58:54.960,20.460282840563,-156.949409716458,146.569022992326,-30.0535006608044,-181.110788865784,41.5880885219704,8.99257448453695,-206.110271262329,47.0537979823103,11.8406209725306
736950.707586343,12-Sep-2017 16:58:55.460,20.4602776584514,-156.949384567975,149.19300946615,-30.6271900027952,-178.486813948594,41.0143463213387,8.993530658587,-203.486297226822,46.4800517489655,11.808199854909
736950.70759213,12-Sep-2017 16:58:55.960,20.4602724763398,-156.949359419492,151.816996106442,-31.200878942222,-175.862838746272,40.4406050659851,8.90176504938549,-200.862322897131,45.9063065023038,12.0887404316108
